time/s	<Ewe/V>	I/mA	
4.897943286817055E+003	2.9099379E+000	9.6534744E+001
4.898043286815839E+003	2.9119129E+000	9.6451988E+001
4.898143286814622E+003	2.9107111E+000	9.6477440E+001
4.898243286813420E+003	2.9128833E+000	9.6553848E+001
4.898343286812204E+003	2.9105949E+000	9.6451988E+001
4.898443286811002E+003	2.9105606E+000	9.6445610E+001
4.898543286809785E+003	2.9099340E+000	9.6426514E+001
4.898643286808569E+003	2.9089079E+000	9.6502914E+001
4.898743286807367E+003	2.9100020E+000	9.6496544E+001
4.898843286806150E+003	2.9112401E+000	9.6407417E+001
4.898943286804948E+003	2.9117966E+000	9.6464714E+001
4.899043286803731E+003	2.9101064E+000	9.6464714E+001
4.899143286802515E+003	2.9096706E+000	9.6439247E+001
4.899243286801313E+003	2.9091589E+000	9.6541115E+001
4.899343286800096E+003	2.9094663E+000	9.6445610E+001
4.899443286798894E+003	2.9102654E+000	9.6528389E+001
4.899543286797678E+003	2.9111986E+000	9.6471085E+001
4.899643286796461E+003	2.9101846E+000	9.6502914E+001
4.899743286795259E+003	2.9101639E+000	9.6477440E+001
4.899843286794043E+003	2.9101679E+000	9.6471085E+001
4.899943286792841E+003	2.9122965E+000	9.6445610E+001
4.900043286791624E+003	2.9114726E+000	9.6445610E+001
4.900143286790408E+003	2.9108381E+000	9.6381943E+001
4.900243286789206E+003	2.9123924E+000	9.6477440E+001
4.900343286787989E+003	2.9135780E+000	9.6477440E+001
4.900443286786787E+003	2.9133718E+000	9.6458351E+001
4.900543286785571E+003	2.9143231E+000	9.6426514E+001
4.900643286784354E+003	2.9118252E+000	9.6458351E+001
4.900743286783152E+003	2.9114900E+000	9.6439247E+001
4.900843286781936E+003	2.9146111E+000	9.6496544E+001
4.900943286780734E+003	2.9119968E+000	9.6471085E+001
4.901043286779517E+003	2.9106543E+000	9.6515648E+001
4.901143286778301E+003	2.9103189E+000	9.6439247E+001
4.901243286777099E+003	2.9096971E+000	9.6496544E+001
4.901343286775882E+003	2.9128802E+000	9.6458351E+001
4.901443286774680E+003	2.9107380E+000	9.6451988E+001
4.901543286773463E+003	2.9097512E+000	9.6483818E+001
4.901643286772247E+003	2.9091377E+000	9.6477440E+001
4.901743286771045E+003	2.9106178E+000	9.6490181E+001
4.901843286769828E+003	2.9123352E+000	9.6534744E+001
4.901943286768626E+003	2.9118834E+000	9.6502914E+001
4.902043286767410E+003	2.9091785E+000	9.6490181E+001
4.902143286766193E+003	2.9111230E+000	9.6509285E+001
4.902243286764991E+003	2.9101837E+000	9.6458351E+001
4.902343286763775E+003	2.9096341E+000	9.6483818E+001
4.902443286762573E+003	2.9095266E+000	9.6439247E+001
4.902543286761356E+003	2.9113424E+000	9.6483818E+001
4.902643286760140E+003	2.9103961E+000	9.6458351E+001
4.902743286758938E+003	2.9082656E+000	9.6426514E+001
4.902843286757721E+003	2.9097869E+000	9.6477440E+001
4.902943286756519E+003	2.9100306E+000	9.6509285E+001
4.903043286755303E+003	2.9134650E+000	9.6451988E+001
4.903143286754086E+003	2.9094782E+000	9.6490181E+001
4.903243286752884E+003	2.9093122E+000	9.6502914E+001
4.903343286751668E+003	2.9084251E+000	9.6522011E+001
4.903443286750466E+003	2.9092188E+000	9.6490181E+001
4.903543286749249E+003	2.9088957E+000	9.6477440E+001
4.903643286748033E+003	2.9092176E+000	9.6420143E+001
4.903743286746831E+003	2.9075623E+000	9.6522011E+001
4.903843286745614E+003	2.9079814E+000	9.6496544E+001
4.903943286744412E+003	2.9092226E+000	9.6502914E+001
4.904043286743195E+003	2.9091556E+000	9.6477440E+001
4.904143286741979E+003	2.9117560E+000	9.6502914E+001
4.904243286740777E+003	2.9112844E+000	9.6439247E+001
4.904343286739560E+003	2.9112349E+000	9.6458351E+001
4.904443286738358E+003	2.9087584E+000	9.6445610E+001
4.904543286737142E+003	2.9100065E+000	9.6509285E+001
4.904643286735925E+003	2.9085169E+000	9.6451988E+001
4.904743286734723E+003	2.9084218E+000	9.6509285E+001
4.904843286733507E+003	2.9087090E+000	9.6502914E+001
4.904943286732305E+003	2.9093049E+000	9.6458351E+001
4.905043286731088E+003	2.9082079E+000	9.6451988E+001
4.905143286729872E+003	2.9077420E+000	9.6432884E+001
4.905243286728670E+003	2.9097424E+000	9.6471085E+001
4.905343286727453E+003	2.9081635E+000	9.6477440E+001
4.905443286726251E+003	2.9097214E+000	9.6458351E+001
4.905543286725035E+003	2.9113736E+000	9.6432884E+001
4.905643286723818E+003	2.9116414E+000	9.6464714E+001
4.905743286722616E+003	2.9141970E+000	9.6451988E+001
4.905843286721400E+003	2.9141140E+000	9.6483818E+001
4.905943286720198E+003	2.9124653E+000	9.6522011E+001
4.906043286718981E+003	2.9155109E+000	9.6528389E+001
4.906143286717765E+003	2.9128244E+000	9.6509285E+001
4.906243286716563E+003	2.9105792E+000	9.6464714E+001
4.906343286715346E+003	2.9130847E+000	9.6445610E+001
4.906443286714144E+003	2.9123693E+000	9.6483818E+001
4.906543286712928E+003	2.9146197E+000	9.6445610E+001
4.906643286711711E+003	2.9137864E+000	9.6496544E+001
4.906743286710509E+003	2.9133308E+000	9.6483818E+001
4.906843286709292E+003	2.9135942E+000	9.6477440E+001
4.906943286708090E+003	2.9134991E+000	9.6451988E+001
4.907043286706874E+003	2.9157236E+000	9.6515648E+001
4.907143286705657E+003	2.9154134E+000	9.6458351E+001
4.907243286704455E+003	2.9162505E+000	9.6477440E+001
4.907343286703239E+003	2.9146848E+000	9.6464714E+001
4.907443286702037E+003	2.9145019E+000	9.6445610E+001
4.907543286700820E+003	2.9161413E+000	9.6426514E+001
4.907643286699604E+003	2.9164419E+000	9.6502914E+001
4.907743286698402E+003	2.9170144E+000	9.6426514E+001
4.907843286697185E+003	2.9140673E+000	9.6509285E+001
4.907943286695983E+003	2.9150085E+000	9.6413788E+001
4.908043286694767E+003	2.9142833E+000	9.6528389E+001
4.908143286693550E+003	2.9136665E+000	9.6509285E+001
4.908243286692348E+003	2.9101536E+000	9.6496544E+001
4.908343286691132E+003	2.9091456E+000	9.6483818E+001
4.908443286689930E+003	2.9089441E+000	9.6496544E+001
4.908543286688713E+003	2.9088297E+000	9.6426514E+001
4.908643286687497E+003	2.9101083E+000	9.6534744E+001
4.908743286686295E+003	2.9081662E+000	9.6483818E+001
4.908843286685078E+003	2.9099975E+000	9.6483818E+001
4.908943286683876E+003	2.9087565E+000	9.6509285E+001
4.909043286682660E+003	2.9059644E+000	9.6477440E+001
4.909143286681443E+003	2.9057848E+000	9.6502914E+001
4.909243286680241E+003	2.9064784E+000	9.6509285E+001
4.909343286679024E+003	2.9092424E+000	9.6439247E+001
4.909443286677822E+003	2.9097917E+000	9.6451988E+001
4.909543286676606E+003	2.9103177E+000	9.6413788E+001
4.909643286675389E+003	2.9105942E+000	9.6458351E+001
4.909743286674187E+003	2.9100542E+000	9.6458351E+001
4.909843286672971E+003	2.9119413E+000	9.6471085E+001
4.909943286671769E+003	2.9110332E+000	9.6572945E+001
4.910043286670552E+003	2.9120066E+000	9.6445610E+001
4.910143286669336E+003	2.9137244E+000	9.6509285E+001
4.910243286668134E+003	2.9113648E+000	9.6502914E+001
4.910343286666917E+003	2.9097967E+000	9.6445610E+001
4.910443286665715E+003	2.9089081E+000	9.6490181E+001
4.910543286664499E+003	2.9105601E+000	9.6483818E+001
4.910643286663282E+003	2.9090981E+000	9.6598419E+001
4.910743286662080E+003	2.9113951E+000	9.6464714E+001
4.910843286660864E+003	2.9096129E+000	9.6451988E+001
4.910943286659662E+003	2.9100738E+000	9.6458351E+001
4.911043286658445E+003	2.9100864E+000	9.6477440E+001
4.911143286657229E+003	2.9091361E+000	9.6445610E+001
4.911243286656027E+003	2.9101784E+000	9.6490181E+001
4.911343286654810E+003	2.9097996E+000	9.6483818E+001
4.911443286653608E+003	2.9124410E+000	9.6528389E+001
4.911543286652392E+003	2.9122665E+000	9.6528389E+001
4.911643286651175E+003	2.9115176E+000	9.6490181E+001
4.911743286649973E+003	2.9116597E+000	9.6464714E+001
4.911843286648756E+003	2.9130683E+000	9.6420143E+001
4.911943286647554E+003	2.9119439E+000	9.6464714E+001
4.912043286646338E+003	2.9116991E+000	9.6471085E+001
4.912143286645121E+003	2.9108992E+000	9.6483818E+001
4.912243286643919E+003	2.9113760E+000	9.6464714E+001
4.912343286642703E+003	2.9112096E+000	9.6502914E+001
4.912443286641501E+003	2.9097307E+000	9.6432884E+001
4.912543286640284E+003	2.9106529E+000	9.6458351E+001
4.912643286639068E+003	2.9097984E+000	9.6471085E+001
4.912743286637866E+003	2.9082103E+000	9.6439247E+001
4.912843286636649E+003	2.9095905E+000	9.6451988E+001
4.912943286635447E+003	2.9097409E+000	9.6528389E+001
4.913043286634231E+003	2.9098530E+000	9.6471085E+001
4.913143286633014E+003	2.9107280E+000	9.6490181E+001
4.913243286631812E+003	2.9095824E+000	9.6502914E+001
4.913343286630596E+003	2.9095268E+000	9.6458351E+001
4.913443286629394E+003	2.9095109E+000	9.6502914E+001
4.913543286628177E+003	2.9074810E+000	9.6534744E+001
4.913643286626961E+003	2.9106543E+000	9.6522011E+001
4.913743286625759E+003	2.9094479E+000	9.6483818E+001
4.913843286624542E+003	2.9097388E+000	9.6490181E+001
4.913943286623340E+003	2.9102108E+000	9.6509285E+001
4.914043286622124E+003	2.9085071E+000	9.6502914E+001
4.914143286620907E+003	2.9083526E+000	9.6592041E+001
4.914243286619705E+003	2.9077809E+000	9.6490181E+001
4.914343286618488E+003	2.9083109E+000	9.6502914E+001
4.914443286617287E+003	2.9084668E+000	9.6528389E+001
4.914543286616070E+003	2.9078526E+000	9.6528389E+001
4.914643286614853E+003	2.9110682E+000	9.6458351E+001
4.914743286613651E+003	2.9087291E+000	9.6496544E+001
4.914843286612435E+003	2.9101207E+000	9.6445610E+001
4.914943286611233E+003	2.9126105E+000	9.6432884E+001
4.915043286610016E+003	2.9111335E+000	9.6502914E+001
4.915143286608800E+003	2.9115577E+000	9.6458351E+001
4.915243286607598E+003	2.9137583E+000	9.6528389E+001
4.915343286606381E+003	2.9104853E+000	9.6490181E+001
4.915443286605179E+003	2.9115734E+000	9.6451988E+001
4.915543286603963E+003	2.9101133E+000	9.6522011E+001
4.915643286602746E+003	2.9124606E+000	9.6483818E+001
4.915743286601544E+003	2.9144347E+000	9.6509285E+001
4.915843286600328E+003	2.9130576E+000	9.6490181E+001
4.915943286599126E+003	2.9110765E+000	9.6502914E+001
4.916043286597909E+003	2.9111640E+000	9.6496544E+001
4.916143286596693E+003	2.9112167E+000	9.6451988E+001
4.916243286595491E+003	2.9101701E+000	9.6509285E+001
4.916343286594274E+003	2.9095759E+000	9.6490181E+001
4.916443286593072E+003	2.9115663E+000	9.6483818E+001
4.916543286591856E+003	2.9113886E+000	9.6471085E+001
4.916643286590639E+003	2.9119740E+000	9.6515648E+001
4.916743286589437E+003	2.9105871E+000	9.6426514E+001
4.916843286588221E+003	2.9094062E+000	9.6451988E+001
4.916943286587019E+003	2.9118176E+000	9.6509285E+001
4.917043286585802E+003	2.9119923E+000	9.6483818E+001
4.917143286584585E+003	2.9110537E+000	9.6515648E+001
4.917243286583383E+003	2.9103756E+000	9.6439247E+001
4.917343286582167E+003	2.9121237E+000	9.6477440E+001
4.917443286580965E+003	2.9068346E+000	9.6464714E+001
4.917543286579748E+003	2.9082344E+000	9.6522011E+001
4.917643286578532E+003	2.9070098E+000	9.6477440E+001
4.917743286577330E+003	2.9070263E+000	9.6432884E+001
4.917843286576113E+003	2.9079816E+000	9.6477440E+001
4.917943286574911E+003	2.9076331E+000	9.6579315E+001
4.918043286573695E+003	2.9077864E+000	9.6483818E+001
4.918143286572478E+003	2.9082701E+000	9.6490181E+001
4.918243286571276E+003	2.9109042E+000	9.6451988E+001
4.918343286570060E+003	2.9095874E+000	9.6477440E+001
4.918443286568858E+003	2.9109335E+000	9.6560219E+001
4.918543286567641E+003	2.9100378E+000	9.6432884E+001
4.918643286566425E+003	2.9091628E+000	9.6464714E+001
4.918743286565223E+003	2.9096313E+000	9.6496544E+001
4.918843286564006E+003	2.9092309E+000	9.6490181E+001
4.918943286562804E+003	2.9109802E+000	9.6445610E+001
4.919043286561588E+003	2.9081509E+000	9.6477440E+001
4.919143286560371E+003	2.9093652E+000	9.6547485E+001
4.919243286559169E+003	2.9088793E+000	9.6426514E+001
4.919343286557953E+003	2.9105487E+000	9.6471085E+001
4.919443286556751E+003	2.9089475E+000	9.6553848E+001
4.919543286555534E+003	2.9085269E+000	9.6432884E+001
4.919643286554317E+003	2.9091673E+000	9.6490181E+001
4.919743286553115E+003	2.9078002E+000	9.6502914E+001
4.919843286551899E+003	2.9078960E+000	9.6502914E+001
4.919943286550697E+003	2.9106712E+000	9.6464714E+001
4.920043286549480E+003	2.9108739E+000	9.6502914E+001
4.920143286548264E+003	2.9094458E+000	9.6483818E+001
4.920243286547062E+003	2.9067771E+000	9.6490181E+001
4.920343286545845E+003	2.9059854E+000	9.6528389E+001
4.920443286544643E+003	2.9074466E+000	9.6496544E+001
4.920543286543427E+003	2.9076364E+000	9.6471085E+001
4.920643286542210E+003	2.9081471E+000	9.6502914E+001
4.920743286541008E+003	2.9090531E+000	9.6477440E+001
4.920843286539792E+003	2.9089179E+000	9.6464714E+001
4.920943286538590E+003	2.9078157E+000	9.6509285E+001
4.921043286537373E+003	2.9061537E+000	9.6515648E+001
4.921143286536157E+003	2.9080608E+000	9.6528389E+001
4.921243286534955E+003	2.9110744E+000	9.6560219E+001
4.921343286533738E+003	2.9103377E+000	9.6483818E+001
4.921443286532536E+003	2.9103084E+000	9.6483818E+001
4.921543286531320E+003	2.9119842E+000	9.6547485E+001
4.921643286530103E+003	2.9134974E+000	9.6451988E+001
4.921743286528901E+003	2.9133382E+000	9.6553848E+001
4.921843286527685E+003	2.9131613E+000	9.6611145E+001
4.921943286526483E+003	2.9133654E+000	9.6515648E+001
4.922043286525266E+003	2.9133017E+000	9.6496544E+001
4.922143286524049E+003	2.9128039E+000	9.6464714E+001
4.922243286522847E+003	2.9143598E+000	9.6534744E+001
4.922343286521631E+003	2.9142773E+000	9.6490181E+001
4.922443286520429E+003	2.9121792E+000	9.6477440E+001
4.922543286519212E+003	2.9104426E+000	9.6490181E+001
4.922643286517996E+003	2.9110942E+000	9.6445610E+001
4.922743286516794E+003	2.9123168E+000	9.6445610E+001
4.922843286515577E+003	2.9135129E+000	9.6413788E+001
4.922943286514375E+003	2.9132597E+000	9.6522011E+001
4.923043286513159E+003	2.9123778E+000	9.6483818E+001
4.923143286511942E+003	2.9093397E+000	9.6483818E+001
4.923243286510740E+003	2.9098933E+000	9.6477440E+001
4.923343286509524E+003	2.9079978E+000	9.6528389E+001
4.923443286508322E+003	2.9113324E+000	9.6496544E+001
4.923543286507105E+003	2.9092541E+000	9.6490181E+001
4.923643286505889E+003	2.9096742E+000	9.6388313E+001
4.923743286504687E+003	2.9080544E+000	9.6439247E+001
4.923843286503470E+003	2.9095798E+000	9.6426514E+001
4.923943286502268E+003	2.9089065E+000	9.6572945E+001
4.924043286501052E+003	2.9108629E+000	9.6515648E+001
4.924143286499835E+003	2.9095395E+000	9.6458351E+001
4.924243286498633E+003	2.9121604E+000	9.6458351E+001
4.924343286497417E+003	2.9098644E+000	9.6458351E+001
4.924443286496215E+003	2.9117615E+000	9.6509285E+001
4.924543286494998E+003	2.9111829E+000	9.6534744E+001
4.924643286493781E+003	2.9096096E+000	9.6445610E+001
4.924743286492580E+003	2.9103031E+000	9.6439247E+001
4.924843286491363E+003	2.9109888E+000	9.6541115E+001
4.924943286490161E+003	2.9084587E+000	9.6502914E+001
4.925043286488944E+003	2.9086416E+000	9.6528389E+001
4.925143286487728E+003	2.9095690E+000	9.6451988E+001
4.925243286486526E+003	2.9087119E+000	9.6522011E+001
4.925343286485309E+003	2.9099348E+000	9.6458351E+001
4.925443286484107E+003	2.9075654E+000	9.6464714E+001
4.925543286482891E+003	2.9067626E+000	9.6490181E+001
4.925643286481674E+003	2.9069474E+000	9.6566582E+001
4.925743286480472E+003	2.9091804E+000	9.6490181E+001
4.925843286479256E+003	2.9073884E+000	9.6509285E+001
4.925943286478054E+003	2.9097116E+000	9.6490181E+001
4.926043286476837E+003	2.9077299E+000	9.6439247E+001
4.926143286475621E+003	2.9087148E+000	9.6496544E+001
